Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Фейхоа;61;0,71;0,42;8,81
Физалис;53;1,9;0,7;11,2
Финик, королевский;277;1,81;0,15;68,27
Финики;292;2,5;0,5;69,2
Финики Деглет нур;282;2,45;0,39;67,03
Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в водной заливке;32;0,42;0,05;7,51
Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в легком сахарном сиропе;57;0,4;0,07;13,93
Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в насыщенном сахарном сиропе;73;0,39;0,07;17,91
Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в собственном соку;46;0,46;0,01;10,86
Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-легком сахарном сиропе;45;0,4;0,07;10,53
Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-насыщенном сахарном сиропе;88;0,39;0,07;21,79
Фруктовый коктейль, консервированный в насыщенном сахарном сиропе, сухой продукт;70;0,47;0,1;17,1
Фруктовый салат (ананас, папайя, банан и гуава), консервированный в насыщенном сиропе;86;0,41;0,1;21,06
Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в водной заливке;30;0,35;0,07;6,87
Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в легком сиропе;58;0,34;0,07;14,14
Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в собственном соку;50;0,51;0,03;12,05
Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в экстра-насыщенном сахарном сиропе;88;0,33;0,06;21,77
Хурма;67;0,5;0,4;15,3
Хурма виргинская (американская);127;0,8;0,4;33,5
Хурма восточная;70;0,58;0,19;14,99
Хурма восточная, сушеная;274;1,38;0,59;58,93
Цукаты;322;0,34;0,07;81,14
Черемуха;46;0;0;10
Черёмуха виргинская, северо-американская;162;3,04;1,69;13,62
Черешневый компот. Консервы;87;0,5;0,2;20,6
Черешня;63;1,06;0,2;13,91
Черешня;52;1,1;0,4;10,6
Черешня, консервированная в водной заливке;46;0,77;0,13;10,26
Черешня, консервированная в легком сиропе;67;0,61;0,15;15,79
Черешня, консервированная в насыщенном сиропе;83;0,6;0,15;19,87
Черешня, консервированная в насыщенном сиропе, сухой продукт;83;0,73;0,21;18,77
Черешня, консервированная в собственном соку;54;0,91;0,02;12,31
Черешня, консервированная в экстра-насыщенном сиропе;102;0,59;0,15;24,73
Черимойя;75;1,57;0,68;14,71
Черника;57;0,74;0,33;12,09
Черника;44;1,1;0,6;7,6
Черника дикая (Аляска);61;1,22;0,76;9,71
Черника дикая замороженная, (Аляска);44;0,7;0;10,4
Черника дикая, замороженная;57;0;0,16;9,45
Черника дикая, консервированная в насыщенном сиропе;107;0,56;0,34;23,42
Черника сушеная, подслащенная;317;2,5;2,5;72,5
Черника, замороженная, неподслащенная;51;0,42;0,64;9,47
Черника, замороженная, подслащенная;85;0,4;0,13;19,75
Черника, консервированная в легком сахарном сиропе, сухой продукт;88;1,04;0,4;20,06
Черника, консервированная в насыщенном сахарном сиропе;88;0,65;0,33;20,46
Черника, сырая (Аляска);37;0,4;0,1;8,7
Чернослив (слива сушеная);240;2,18;0,38;56,78
Чернослив (слива сушеная);256;2,3;0,7;57,5
Чернослив (слива сушеная), тушеный без добавления сахара;107;0,96;0,16;24,98
Чернослив (слива сушеная), тушеный с добавлением сахара;124;1,09;0,22;29,08
Чернослив дегидрированный;339;3,7;0,73;89,07
Чернослив дегидрированный, тушеный;113;1,23;0,24;29,7
Чернослив со взбитыми сливками по 2-116;281;2,3;12,6;38
Чернослив, консервированный в насыщенном сахарном сиропе;105;0,87;0,2;24
Черносливовое пюре;257;2,1;0,2;61,8
Черносмородиновый джем;284;0,6;0,1;72,9
Шелковица;43;1,44;0,39;8,1
Шелковица;53;0,7;0,39;12
Шиповник;109;1,6;0,7;22,4
Шиповник дикий, северо-американский;162;1,6;0,34;14,12
Шиповник сухой;284;3,4;1,4;48,3
Ююба, сушеная;281;4,72;0,5;66,52
Ююба, сырая;79;1,2;0,2;20,23
Яблоки в сиропе. Консервы;48;0,2;0,1;11,5
Яблоки дикие;76;0,4;0,3;19,95
Яблоко;52;0,26;0,17;11,41
Яблоко;47;0,4;0,4;9,8
Яблоко без кожуры;48;0,27;0,13;11,46
Яблоко без кожуры, вареное;53;0,26;0,36;11,24
Яблоко без кожуры, приготовленное в микроволновой печи;56;0,28;0,42;11,61
Яблоко Гала;57;0,25;0,12;11,38
Яблоко Голден;57;0,28;0,15;11,2
Яблоко Гренни Смит;58;0,44;0,19;10,81
Яблоко замороженное;48;0,28;0,32;11,01
Яблоко замороженное, разогретое;47;0,29;0,33;10,7
Яблоко ломтиками, консервированное, подслащенное, сухой продукт без маринада, разогретые;67;0,18;0,43;14,84
Яблоко Ред Делишес;59;0,27;0,2;11,76
Яблоко сушеное;253;2,2;0,1;59
Яблоко сушеное (дегидрированное), сульфитированное;346;1,32;0,58;81,13
Яблоко сушеное (дегидрированное), тушеное;74;0,28;0,12;17,31
Яблоко сушеное, сульфитированное;243;0,93;0,32;57,19
Яблоко сушеное, тушеное без сахара;57;0,22;0,07;13,32
Яблоко сушеное, тушеное с сахаром;83;0,2;0,07;18,83
Яблоко Фуджи;63;0,2;0,18;13,12
Яблочное повидло;250;0,4;0;65
Яблочное пюре;82;0,6;0,2;19
Яблочный компот. Консервы;93;0,2;0,2;22,3
Яблочный соус, консервированный, неподслащенный, без добавления аскорбиновой кислоты;42;0,17;0,1;10,17
Яблочный соус, консервированный, неподслащенный, с добавлением аскорбновой кислоты;42;0,17;0,1;10,17
Яблочный соус, консервированный, подслащенный, без добавления соли;68;0,16;0,17;16,29
Яблочный соус, консервированный, подслащенный, с солью;76;0,18;0,18;18,71
Ягоды годжи, сушеные;349;14,26;0,39;64,06
