Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Моллюск рапана;77;16,7;1,1;0
Молоки рыб, все виды;143;22,32;6,42;1,5
Молоки рыб, все виды, приготовленные на жару;204;28,62;8,23;1,92
Морж, мясо и подкожный жир, сырые, (Аляска);282;16,3;24,1;0
Морж, мясо, сушеное, (Аляска);251;57;2,6;0
Морж, мясо, сырое, (Аляска);199;19,2;13,6;0
Морская капуста (ламинария) свежая;24,9;0,9;0,2;3
Морская капуста (ламинария) сушеная;189;7,1;1,6;22,6
Морские водоросли агар, сушеные;306;6,21;0,3;73,18
Морские водоросли агар, сырые;26;0,54;0,03;6,25
Морские водоросли вакаме, сырые;45;3,03;0,64;8,64
Морские водоросли ирландский мох, сырой;49;1,51;0,16;10,99
Морские водоросли канадские культивируемые emi-tsunomata, сушеные;259;15,34;1,39;9,54
Морские водоросли канадские культивируемые emi-tsunomata, сырые;31;1,86;0,17;1,12
Морские водоросли порфира, сырые;35;5,81;0,28;4,81
Морские водоросли спирулина, сушеные;290;57,47;7,72;20,3
Морские водоросли спирулина, сырые;26;5,92;0,39;2,02
Морские водоросли, ламинариевые, сырые;43;1,68;0,56;8,27
Морской черт, мясо, (Аляска);97;11,7;5,3;0
Морской черт, приготовленный на жару;97;18,56;1,95;0
Морской черт, сырой;76;14,48;1,52;0
Муксун;121;18,5;5,2;0
Муксун в томатном соусе, консервы;119;13,4;5,2;5
Мясо ластоногих;113;24,5;1,7;0
Навага беломорская;91;19,2;1,6;0
Навага дальневосточная;69;15,1;0,9;0
Навага жареная, по 1-368;169;18,3;8,3;4,8
Наггетсы из лосося, панированные, замороженные, разогретые;212;12,69;11,72;13,96
Налим;81;18,8;0,6;0
Налим в томатном соусе, консервы;106;14,2;3,3;5,3
Налим-ошибень, приготовленный на жару;111;24,35;0,82;0
Налим-ошибень, сырой;87;18,99;0,64;0
Налим, приготовленный на жару;115;24,76;1,04;0
Налим, сырой;90;19,31;0,81;0
Нельма;160;19,4;9,2;0
Нельма (белорыбица), сырая, (Аляска);115;22,25;2,84;0
Нерка;157;20,3;8,4;0
Нерка;131;22,25;4,69;0
Нерка (Аляска);153;21,94;7,28;0
Нерка натуральная. Консервы;171;19,1;10,5;0
Нерка, горячего копчения (Аляска);141;24,5;4,75;0
Нерка, консервированная без костей, (Аляска);161;27,31;5,76;0
Нерка, консервированная без соли;153;20,47;7,31;0
Нерка, консервированная, всё содержимое;153;20,63;7,17;0
Нерка, консервированная, с костями, содержимое без жидкости;167;23,59;7,39;0
Нерка, консервированная, содержимое без жидкости, без кожи и костей;158;26,33;5,87;0
Нерка, консервированная, холодного копчения, (Аляска);206;35,19;7,26;0
Нерка, красный лосось, филе с кожей, холодного копчения (Аляска);345;60,62;11,43;0
Нерка, приготовленная на жару;156;26,48;5,57;0
Нотоскопелюс кроуэри;220;15,5;17,5;0
Нототения мраморная;148;15,7;9,5;0
Окунь горячего копчения;166;23,5;8;0
Окунь жареный, по 1-336;180;20,6;9,1;4
Окунь запеченный, по 1-374;103;6,8;4,7;8,4
Окунь морской (сибас);103;18,2;3,3;0
Окунь морской (сибас) отварной, по 1-338;112;19,9;3,6;0
Окунь морской (сибас) тушеный, по 1-364;120;10,9;6,6;4,2
Окунь морской атлантический (золотистый, обыкновенный);79;15,31;1,54;0
Окунь морской атлантический (золотистый, обыкновенный), приготовленный на жару;96;18,51;1,87;0
Окунь морской холодного копчения;199;26,4;10,4;0
Окунь морской, все виды;97;18,43;2;0
Окунь морской, приготовленный на жару;124;23,63;2,56;0
Окунь морской, тихоокеанский клювач;90;18,36;1,34;0
Окунь морской, тихоокеанский клювач, приготовленный на жару;109;22,23;1,62;0
Окунь полосатый (полосатый басс, или полосатый лаврак), приготовленный на жару;124;22,73;2,99;0
Окунь полосатый (полосатый басс, или полосатый лаврак), сырой;97;17,73;2,33;0
Окунь пресноводный, все виды, приготовленный на жару;146;24,18;4,73;0
Окунь пресноводный, все виды, сырой;114;18,86;3,69;0
Окунь припущенный, по 1-348;109;19,5;3,5;0
Окунь речной;91;19,39;0,92;0
Окунь речной;82;18,5;0,9;0
Окунь речной, приготовленный на жару;117;24,86;1,18;0
Окунь фаршированный, по 1-360;130;14,9;6,1;3,9
Омар северный, приготовленный на пару;89;19;0,86;0
Омар северный, сырой;77;16,52;0,75;0
Омуль;152;19,2;8,3;0
Осетр в томатном соусе. Консервы;164;14,4;11,8;3,3
Осетр жареный во фритюре, по 1-372;273;16;17,4;13,2
Осетр каспийский и азово-черноморский;164;16,4;10,9;0
Осетр консервированный;163;16,4;10,6;0
Осетр отварной, по 1-344;179;17,7;12;0
Осетр припущенный, по 1-350;179;17,8;11,9;0
Осетр холодного копчения, теша;302;17,6;25,7;0
Осетр, все виды, копченый;173;31,2;4,4;0
Осетр, все виды, приготовленный на жару;135;20,7;5,18;0
Осетр, все виды, сырой;105;16,14;4,04;0
Осетр, сибирский;202;15,8;15,4;0
Осьминог обыкновенный, приготовленный на пару;164;29,82;2,08;4,4
Осьминог обыкновенный, сырой;82;14,91;1,04;2,2
Ошибень;72;16,7;0,6;0
Пагрус;106;19,8;3;0
Палтус (Аляска);116;20,53;2,92;1,81
Палтус белокорый;103;18,9;3;0
Палтус черный;196;12,8;16,1;0
Палтус, атлантический и тихоокеанский, приготовленный на жару;111;22,54;1,61;0
Палтус, атлантический и тихоокеанский, сырой;91;18,56;1,33;0
Палтус, приготовленный (Аляска);113;22,13;2,73;0
Палтус, черный, приготовленный на жару;239;18,42;17,74;0
Палтус, черный, сырой;186;14,37;13,84;0
"Паста ""Океан""";92;13,6;4,2;0
Пеламида;217;22,4;14,2;0
Песчанка радужная (корюшка американская), приготовленная на жару;124;22,6;3,1;0
Песчанка радужная (корюшка американская), сырая;97;17,63;2,42;0
Печень белуги, сырая, (Аляска);117;18,4;3,9;2
Печень зубастого терпуга (Аляска);424;5,6;42;6
Печень моржа, сырая, (Аляска);125;21;3;3,5
Печень трески. Консервы;613;4,2;65,7;1,2
Печень чавычи (Аляска);156;16,6;8;4,3
Печень щуки северной (Аляска);156;16,6;8;4,3
Печень, сиговые, чир (Аляска);104;11;4,4;5,1
