Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Хлеб, белковый, тосты (с глютеном);270;13,2;2,4;44,8
Хлеб, белый, промышленого изготовления, с низким содержанием натрия, без соли;267;8,2;3,6;47,3
Хлеб, белый, промышленого изготовления, тосты,с низким содержанием натрия, без соли;293;9;4;54,4
Хлеб, бостон коричневый, консервированный;195;5,2;1,5;38,6
Хлеб, из цельного зерна, приготовленный по рецепту, тосты;305;9,2;5,9;49,7
Хлеб, кукурузная мука, сухая смесь, обогащенный;418;7;12,2;63
Хлеб, лаваш, белый, необогащенный;275;9,1;1,2;53,5
Хлеб, молотая пшеница;260;8,7;3,9;44
Хлеб, с изюмом, необогащенный;274;7,9;4,4;48
Хлеб, французский или венский (на закваске);272;10,75;2,42;49,68
Хлеб, французский или венский, тосты (на закваске);319;13;2,14;58,83
Хлебные палочки, простые;412;12;9,5;65,4
Хлебные сухарики, кукурузная мука, приготовленный из сухой смеси;179;2,9;8,8;19
Хлебные сухарики, кукурузная мука, сухая смесь;389;10;4,2;62,4
Хлебные сухарики, хлеб из сухой смеси;386;11;3,4;73
Хлебные сухарики, хлеб приготовленный из сухой смеси;195;2,73;12,05;18,04
Хлебцы докторские (мука в/с и отруби пшеничные);242;8,2;2,6;46,3
Шоколадный пирог с шоколадной глазурью;389;3,48;20,05;50,64
Шоколадный пирог, приготовленный по рецепту без глазури;371;5,3;15,1;51,8
Шоколадный пирог, сухая смесь, пудинг;391;4,6;8,14;77,86
Яичные рогалики;278;10,6;2,1;50,7
Яичный хлеб;287;9,5;6;45,5
Яичный хлеб, тосты;315;10,5;6,6;50,1
