Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Уголок с Яблочной Начинкой [Пятерочка];311;4,8;10,5;49,1
Улитка Греческая с Курицей и Картофелем [Пятерочка];226;8,7;6,7;32,6
Улитка Греческая с Мясом [Пятерочка];345;8;18,5;35,8
Улитка Греческая с Творогом [Пятерочка];338;8,1;16,5;38,4
Улитка Греческая со Шпинатом и Сыром [Пятерочка];248;7,6;9,2;33,6
Улитка Косичка Картофель Бекон Шпинат [Пятерочка];248;7,6;9,2;33,6
Улитка Косичка Курица/Рис/Овощи [Пятерочка];231;8;6,5;35
Улитка Косичка Сыр Картофель Бекон [Пятерочка];230;9;7,5;31,5
Улитка с Кремом и Корицей [Пятерочка];280;5,5;12;40
Улитка с Повидлом [Пятерочка];240;9;7;35
Улитка с Сыром и Шпинатом [Пятерочка];248;7,6;9,2;33,6
Фаготтини с Клубникой [Пятерочка];376;6;13,2;58,6
Фаготтини с Сыром и Ветчиной [Пятерочка];382;10,8;19,4;40,4
Фарш Говяжий (Рестория) [Пятерочка];192;12;16;0
Филе Грудки [Пятерочка];96;15;4;0
Финики [Пятерочка];264;2,3;0,5;71,9
Хачапури с Курицей и Грибами [Пятерочка];470;15;28;40
Хачапури с Сыром [Пятерочка];335;10,1;19,6;28,5
Хачапури с Сыром и Ветчиной [Пятерочка];572;18;37;40
Хлеб Sibirien Korn Brot [Пятерочка];228;6,2;2,3;48,9
Хлеб Бабушкин [Пятерочка];234;7,3;0,8;49,3
Хлеб Гречишный [Пятерочка];244;7;3;46
Хлеб Домашний на Молоке [Пятерочка];290;9,5;2;59
Хлеб Древнерусский [Пятерочка];201;10;1;38
Хлеб Заварной [Пятерочка];248;6,6;1;51,8
Хлеб Зерновой [Пятерочка];274;9,2;6,6;44,4
Хлеб Зерновой Мультизлаковый со Льном [Пятерочка];228;6,2;2,3;48,9
Хлеб Маисовый [Пятерочка];240;7,5;2;46
Хлеб Отличный с Чесноком [Пятерочка];229;8,3;3,3;58,8
Хлеб Парижский [Пятерочка];300;10;4;55
Хлеб Питерский [Пятерочка];210;7,4;1,2;42,6
Хлеб Пури Грузинский [Пятерочка];220;8,5;0,9;55,9
Хлеб с Отрубями [Пятерочка];268;10;2,7;51
Хлеб с Семенами Подсолнечника [Пятерочка];269;7,5;13;30,5
Хлеб Фермерский [Пятерочка];200;6,7;5,2;32,6
Хлебушек Черный Русский [Пятерочка];384;8,5;12,7;58,9
Холодец [Пятерочка];31;6,3;0,5;0,2
Хумус [Пятерочка];345;16;25;14
Хурма [Пятерочка];66;0,5;0,3;15,3
Цыпленок-Гриль [Пятерочка];237;27;13,5;0
Чебурек [Пятерочка];226;11;10;23
Черешня [Пятерочка];50;1,1;0,4;11,5
Чернослив [Пятерочка];277;2,3;0,9;67
Чернослив Фруктовый Батончик [Пятерочка];200;2,5;1;48
Чеснок [Пятерочка];143;6,5;0,5;29,9
Чиабатта [Пятерочка];269;9,4;2,6;50,8
Чипсы Московский Картофель [Пятерочка];570;5,5;40;46
Шампиньоны [Пятерочка];27;4,3;0;0,1
Штрудель Киви [Пятерочка];410;5;30;34
Элеш с Курицей [Пятерочка];226;10,9;11,2;20,4
Яблоко Голден [Пятерочка];53;0,5;0,2;10,7
Яблоко Красное [Пятерочка];47;0,4;0,4;9,8
Яблоко Роял Гала [Пятерочка];46;0,4;0;11,2
Яблоко Сезонное [Пятерочка];47;0,4;0,4;9,8
Яйца [Пятерочка];157;12,7;11,5;0,7
Ячневая Анна [Пятерочка];63;2,4;1,7;9,5
