Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Печенье со Сливочным Кремом [Яшкино];500;6;24;65
Печенье-Сэндвич [Яшкино];500;7;24;65
Пряники [Яшкино];400;3,5;13;68
Пряники в Сахарной Глазури [Яшкино];380;5;8;73
Пряники Классические [Яшкино];360;5;3;77
Пряники Мятные [Яшкино];360;5;3;77
Пряники с Абрикосовой Начинкой [Яшкино];390;3,7;10,7;70,5
Пряники с Вареной Сгущенкой [Яшкино];420;4;15;68
Пряники с Вишнёвой Начинкой [Яшкино];400;3,6;12,5;68
Пряники Шоколадные [Яшкино];380;5;8;72
Пряники Шоколадные Воздушные [Яшкино];380;5;8;72
Пшеничная Мука [Яшкино];334;10,3;1,1;70,6
Рулет Абрикосовый [Яшкино];387;6,4;12;63,7
Рулет Бисквитный [Яшкино];370;5;13;58
Рулет Вишневый [Яшкино];386;6,4;12;63,4
Рулет Клубничный со Сливками [Яшкино];377;5,8;11,1;63,6
Рулет с Вареной Сгущенкой [Яшкино];350;6;12;57
Рулет Черничный [Яшкино];370;5;13;60
Рулет Шоколадный [Яшкино];390;6;16;56
Суфле [Яшкино];359;3,9;12,1;61,2
Суфле Воздушное [Яшкино];370;4;12;60
Суфле Воздушное Belucci [Яшкино];440;1,5;21;60
Суфле с Клубничным Конфитюром [Яшкино];278;2,1;8,8;50,2
Суфле с Черемухой [Яшкино];430;3,5;16;69
Суфле со Сгущенным Молоком [Яшкино];430;3,5;16;69
Темный Шоколад [Яшкино];525;5,5;35;47
Темный Шоколад с Начинкой Грейпфрут [Яшкино];420;3;20;57
Тёмный Шоколад с Начинкой Трюфель [Яшкино];520;6,5;35;45
Темный Шоколад с Цельным Миндалем [Яшкино];540;8,5;39;39
Торт с Вишневым Джемом и Шоколадным Кремом [Яшкино];420;6;19;50
Торт с Клубничным Джемом и Сливочным Кремом [Яшкино];400;5,7;19;50
Трубочки Вафельные Лесной Орех [Яшкино];506;7,8;21,4;69
Форсайт [Яшкино];490;3,5;28;59
Французский Мини Крекер [Яшкино];470;8;22;60
Фруктовые Сердечки [Яшкино];290;0,5;0;71
Фруктовый Поцелуй [Яшкино];310;2;0;76
Фурор [Яшкино];523;5,3;26,9;65,6
