Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Молоко сухое обезжиренное, быстрорастворимое;358;35,1;0,72;52,19
Молоко сухое обезжиренное, быстрорастворимое, с витаминами A и D;358;35,1;0,72;52,19
Молоко сухое обезжиренное, с витаминами A и D;362;36,16;0,77;51,98
Молоко, сгущеное цельное, без доб. витаминов A и D, 8%, консерв.;135;6,81;7,56;10,04
Молочный батончик 1,5% жирности, сладкий;147;4,41;1,47;25,4
Молочный коктейль, густой ванильный;112;3,86;3,03;17,75
Молочный коктейль, густой шоколадный;119;3,05;2,7;20,85
Молочный напиток шоколадный 1,1% жирности с витаминами A и D;64;3,46;1,11;10,05
Молочный напиток шоколадный 1,9% жирности, с витаминами A и D;76;2,99;1,9;11,43
Молочный напиток шоколадный 1% жирности, со сниженным содержанием сахара;57;3,43;1,04;7,68
Молочный напиток шоколадный 3,4% жирности, с витаминами A и D;83;3,17;3,39;9,54
Молочный напиток шоколадный обезжиренный, с витаминами A и D;67;3,39;0;13,46
Молочный напиток шоколадный обезжиренный, с добавлением кальция;78;2,99;1,9;11,43
Мороженое в вафельном рожке покрытое шоколадом с орехами, 22% жирности;354;5,21;21,88;33,38
Мороженое в вафельном рожке с арахисом и шоколадным соусом, 9,3% жирности;265;5,33;9,33;30,71
Мороженое в шоколадной глазури с орехами, 25,8% жирности;303;5,62;25,84;10,79
Мороженое лёгкое 3% жирности, с сорбетом;165;1,54;3,08;32,75
Мороженое молочное;132;3,7;3,5;21,3
Мороженое молочное клубничное;123;3,8;2,8;21,6
Мороженое молочное крем-брюле;138;3,7;3,5;22,9
Мороженое молочное ореховое;157;5,4;6,5;20,1
Мороженое молочное с плодами и ягодами;124;3,2;2,8;21,2
Мороженое молочное с шоколадной глазурью;231;3,2;15;20,6
Мороженое молочное шоколадное;133;3,6;3,7;21,2
Мороженое мягкое,  шоколадное 13% жирности,;222;4,1;13;21,5
Мороженое мягкое, шоколадное, лёгкое 3,7% жирности;141;3,36;3,69;23,15
Мороженое на палочке с хрустящей глазурью, 25% жирности;358;2,11;25,26;36,02
Мороженое на палочке с шоколадной глазурью, 24% жирности;331;4,1;24,1;23,7
Мороженое обезжиренное без сахара;133;4,41;0;21,46
Мороженое пломбир;232;3,7;15;20,4
Мороженое пломбир в вафельном рожке;254;3;14;27,89
Мороженое пломбир в шоколадной глазури;310;3,2;24;20,1
Мороженое пломбир клубничный;206;3,2;12;21,1
Мороженое пломбир крем-брюле;240;3,7;15;22,4
Мороженое пломбир ореховый;259;5,2;18;19,9
Мороженое пломбир, шоколадный;231;3,6;15;20,4
Мороженое сливочное;183;3,7;10;19,4
Мороженое сливочное клубничное;165;3,8;8;20,3
Мороженое сливочное крем-брюле;191;3,7;10;21,4
Мороженое сливочное ореховое;210;5,5;13;17,6
Мороженое сливочное с плодами и ягодами;166;3,2;8;20,1
Мороженое сливочное с шоколадной глазурью;271;3,2;20;19,4
Мороженое сливочное шоколадное;185;3,6;10;20
Мороженое сэндвич;237;4,29;8,57;37,14
Мороженое сэндвич с печеньем;240;3,7;7,4;38,4
Мороженое сэндвич, лёгкое ванильное 3% жирности;186;4,29;3,04;39,64
Мороженое сэндвич, лёгкое ванильное 3% жирности без сахара;200;5,71;2,86;35,76
Напиток кисломолочный  2,5% жирности «Юбилейный»;53;2,9;2,5;4,1
Напиток кисломолочный  2,5% жирности «Юбилейный», плодово-ягодный;84;2,6;2,5;12,2
Напиток кисломолочный  2,5% жирности, «Бифидин»;61;3,4;2,5;5,5
Напиток кисломолочный «Снежок» 2,5% жирности;79;2,7;2,5;10,8
Напиток кисломолочный «Тонус» 2,5% жирности;53;2,9;2,5;4,1
Напиток кисломолочный 1% жирности, плодово-ягодный;71;2,7;1;12,2
"Напиток кисломолочный 3,2% жирности, ""Южный""";58;2,8;3,2;3,9
Оттопки масла, сухие;876;0,28;99,48;0
Паста ацидофильная 4,0% жирности;143;5,5;4;20,5
Паста ацидофильная, сладкая 8,0% жирности;203;6,6;8;25,5
Паста молочная, ацидофильная сладкая нежирная;81;5,5;0,2;13,5
Пахта 1% жирности;40;3,31;1,07;4,79
Пахта 1% жирности, пастеризованная;41;3,3;1;4,7
Пахта 1% жирности, сквашенная;40;3,3;1;3,8
Пахта 2% жирности;56;4,1;2;5,3
Пахта 3,3% жирности;62;3,21;3,31;4,88
Пахта сухая;387;34,3;5,78;49
Пищевая добавка для больных диабетом,  жидкая;88;4,4;3,08;9,68
Простокваша 1%;40;3;1;4,1
Простокваша 2,5% жирности;53;2,9;2,5;4,1
Простокваша 2,5% жирности, «Цитрусовая»;76;2,6;2,5;10,1
Простокваша 3,2% жирности;59;2,9;3,2;4,1
Простокваша 4,0% жирности «Мечниковская»;66;2,8;4;4,1
Простокваша обезжиренная;30;3;0,05;3,8
Простокваша цитрусовая 1%;63;2,7;1;10,1
Пудинг из творога 9%-ного, по 1-334;224;13,9;9,6;20,1
Ряженка 2,5% жирности;54;2,9;2,5;4,2
Ряженка 4,0% жирности;67;2,8;4;4,2
Ряженка 6,0% жирности;85;3;6;4,1
Ряженка, 1%;40;3;1;4,2
Сливки 1,4% жирности, с молоком;59;2,6;1,4;9
Сливки 10% жирности, пастеризованные;119;2,7;10;4,5
Сливки 10% жирности. стерилизованные;119;2,7;10;4,4
Сливки 11,5% жирности, с молоком;131;3,13;11,5;4,3
Сливки 19% жирности;195;2,96;19,1;3,66
Сливки 20% жирности, пастеризованные;207;2,5;20;4
Сливки 25% жирности, стерилизованные;251;2,4;25;3,9
Сливки 31% жирности;292;2,17;30,91;2,96
Сливки 35% жирности, пастеризованные;337;2,2;35;3,2
Сливки 36% жирности;340;2,84;36,08;2,84
Сливки 5% жирности, с молоком;72;3,33;5;3,33
Сливки 8% жирности, пастеризованные;102;2,8;8;4,5
Сливки взбитые 13% жирности, замороженные;224;3;13,1;23,6
Сливки взбитые 22% жирности в аэрозольном балончике;257;3,2;22,22;12,49
Сливки взбитые 27% жирности,  плодово-ягодные;344;2,8;27;23,6
Сливки взбитые 27% жирности, шоколадные;337;2,8;27;21,6
Сливки взбитые 28% жирности, ванильные;346;2,8;28;21,6
Сливки взбитые обезжиренные 5% жирности Reddi Wip;149;3;5;24,6
Сливки сгущенные с сахаром, 19% жирности;392;8;19;47
Сливки сухие 42,0% жирности;577;19;42;30,2
Сметана 10,6% жирности;136;3,5;10,6;7,1
Сметана 10% жирности;119;2,7;10;3,9
Сметана 10% жирности «Домашняя»;130;3,8;10;5,6
Сметана 12% жирности;135;2,94;12;4,26
Сметана 12% жирности KRAFT BREAKSTONE'S;152;4,5;12;6,4
Сметана 14,1% жирности;181;7;14,1;7
Сметана 15% жирности;162;2,6;15;3,6
Сметана 19,35% жирности;198;2,44;19,35;4,63
Сметана 20% жирности;206;2,5;20;3,4
Сметана 25% жирности;250;2,4;25;3,2
Сметана 30% жирности;293;2,3;30;3,1
Сметана 36% жирности;346;2,4;36;2,6
Сметана 40% жирности;381;2,4;40;2,6
Сметана обезжиренная;74;3,1;0;15,6
Сулугуни, м.д.ж. 46% в сух. в-ве;286;20,5;22;0,4
Сыворотка кислая;24;0,76;0,09;5,12
Сыворотка кислая, сухая;339;11,73;0,54;73,45
Сыворотка подсырная;21;1;0,1;4
Сыворотка сладкая;27;0,85;0,36;5,14
Сыворотка сладкая, сухая;353;12,93;1,07;74,46
Сыворотка творожная;20;0,8;0,2;3,5
Сыр адыгейский, м.д.ж. 45% в сух. в-ве;264;19,8;19,8;1,5
Сыр американский, обезжиренный;126;21,05;0;10,53
Сыр бийский, м.д.ж. 50% в сух. в-ве;371;24,2;29,9;0
Сыр бри, м.д.ж. 54% в сух. в-ве;334;20,75;27,68;0,45
Сыр брик дю Форез, французский мягкий белый сыр, м.д.ж. 50% в сух. в-ве;371;23,24;29,68;2,79
Сыр выруский, м.д.ж. 30% в сух. в-ве;258;29;15;0
Сыр гауда, твёрдый голландский сыр, м.д.ж. 47% в сух. в-ве;356;24,94;27,44;2,22
Сыр гейтуст, норвежский полутвёрдый коричневый сыр, м.д.ж. 34% в сух. в-ве;466;9,65;29,51;42,65
Сыр голландский, брусковый, м.д.ж. 45% в сух. в-ве;350;26,3;26,6;0
Сыр голландский, круглый, м.д.ж. 50% в сух. в-ве;375;23,7;30,4;0
Сыр голубой с плесенью, м.д.ж. 50% в сух. в-ве;353;21,4;28,74;2,34
Сыр грюйер, швейцарский твёрдый жёлтый сыр, м.д.ж. 48% в сух. в-ве;413;29,81;32,34;0,36
Сыр жемайчу, м.д.ж. 34% в сух. в-ве;262;26;16,7;0
Сыр земгальский, м.д.ж. 50% в сух. в-ве;309;19;25;0
Сыр и творог домашний 4% жирности, несолёный, м.д.ж. 16% в сух. в-ве;113;17;4;1,5
Сыр и творог домашний нежирный, несолёный, м.д.ж. 3% в сух. в-ве;86;18;0,6;1,5
Сыр из козьего молока мягкий, м.д.ж. 54% в сух. в-ве;264;18,52;21,08;0
Сыр из козьего молока полутвердый, м.д.ж. 55% в сух. в-ве;364;21,58;29,84;0,12
Сыр из козьего молока твердый, м.д.ж. 50% в сух. в-ве;452;30,52;35,59;2,17
Сыр камамбер, м.д.ж. 50% в сух. в-ве;300;19,8;24,26;0,46
Сыр камамбер, м.д.ж. 60% в сух. в-ве;324;15,3;28,8;0,1
Сыр каунасский, м.д.ж. 30% в сух. в-ве;253;28,3;14,7;0
Сыр Кесо Бланко, мягкий белый сыр, м.д.ж. 47% в сух. в-ве;310;20,38;24,31;2,53
Сыр Кесо Котиха, мексиканский твёрдый сыр, м.д.ж. 48% в сух. в-ве;366;20;30;3,97
Сыр Кесо Секо, мягкий белый сыр, отжатый, м.д.ж. 42% в сух. в-ве;325;24,51;24,35;2,04
Сыр Кесо Фреско, мягкий белый сыр, свежий, м.д.ж. 49% в сух. в-ве;299;18,09;23,82;2,98
Сыр колби, м.д.ж. 52% в сух. в-ве;394;23,76;32,11;2,57
Сыр костромской, м.д.ж. 45% в сух. в-ве;343;25,6;26,1;0
Сыр латвийский, м.д.ж. 45% в сух. в-ве;316;23,3;24,1;0
Сыр лимбургер, мягкий бельгийский сыр, м.д.ж. 53% в сух. в-ве;327;20,05;27,25;0,49
Сыр литовский, м.д.ж. 30% в сух. в-ве;250;27,9;14,7;0
Сыр мексиканский, кесо анежо, м.д.ж. 48% в сух. в-ве;373;21,44;29,98;4,63
Сыр мексиканский, кесо асадеро, м.д.ж. 45% в сух. в-ве;356;22,6;25;4,13
Сыр мексиканский, кесо чихуа-хуа, м.д.ж. 49% в сух. в-ве;374;21,56;29,68;5,56
Сыр мексиканский, м.д.ж. 37% в сух. в-ве;282;24,69;19,4;3,41
Сыр мексиканский, м.д.ж. 54% в сух. в-ве;384;23,54;32,14;0,13
Сыр монтерей, м.д.ж. 40% в сух. в-ве;313;28,2;21,6;0,7
Сыр монтерей, м.д.ж. 51% в сух. в-ве;373;24,48;30,28;0,68
Сыр моцарелла, м.д.ж. 34% в сух. в-ве;254;24,26;15,92;2,77
Сыр моцарелла, м.д.ж. 44% в сух. в-ве;299;22,17;22,14;2,4
Сыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве;295;23,75;19,78;5,58
Сыр моцарелла, низкой влажности, м.д.ж. 48% в сух. в-ве;318;21,6;24,64;2,47
