Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Варенье Клубничное [Ашан];234;0,7;0,2;56,5
Ватрушка с Картофелем [Ашан];234;8,2;7,3;34,2
Ватрушка с Творогом [Ашан];266;9,4;8,1;39
Ватрушка с Яблоками [Ашан];200;6,7;8,5;17,5
Вафельные Криспы [Ашан];338;8,1;15;71,3
Вафельные Листы [Ашан];288;10,4;1,4;66,4
Вафли Вафи-Дафи [Ашан];520;5,2;41;36
Вафли Голанские [Ашан];465;5;19;68
Вафли Медовые Био [Ашан];463;4,5;20,5;64,5
Вегетарианские Равиоли [Ашан];89;2,9;2,9;11,6
Вертут Шоколадно-Сливочный [Ашан];320;5;14;45
Весенняя Смесь [Ашан];45;3,2;0;8
Ветчина для Завтрака [Ашан];183;12;15;0
Ветчина из Курицы [Ашан];122;12;6;5
Ветчина Куриная [Ашан];143;17;10;0
Ветчина с Сырной Начинкой [Ашан];260;19,4;19,1;2,6
Винегрет [Ашан];46;1,4;0,1;9,9
Винегрет Овощной [Ашан];149;2,1;10,3;10,4
Вишня Сушеная [Ашан];165;0,2;0,2;42
Вобла Вяленая [Ашан];204;33;8;0
Вода Клубника [Ашан];15;0;0;4,5
Воздушный Рис [Ашан];381;7,1;1,1;85
Волнушки Соленые [Ашан];22;2,5;0,5;1,7
Вырезка Говяжья [Ашан];181;22,7;10;0
Вырезка Говяжья Фермерская [Ашан];140;18;8;0
Вырезка Свиная [Ашан];138;18;7;0
Вырезка Свиная Фермерская [Ашан];150;16;10;0
Вырезка Столичная [Ашан];75;12;3;0
Вырезка Телячья [Ашан];98;20;2;0
Гавайская Смесь [Ашан];90;3,5;1;17
Галантин [Ашан];230;15;18,5;1,5
Галеты из Брокколи [Ашан];60;1,5;1,5;10
Галеты из Риса с Кунжутом [Ашан];381;8,4;3,4;77,5
Галеты из Риса с Шоколадом [Ашан];509;7,4;24,2;62,1
Галеты Старт с Отрубями [Ашан];330;11,5;1,5;69
Галстук с Шоколадом [Ашан];290;5,3;13,6;36,4
Геркулес [Ашан];400;11;6;70
Гнезда из Твёрдых Сортов Пшеницы [Ашан];340;10,5;1;71
Говядина [Ашан];170;16;12;0
Говядина Варёно-Копченая [Ашан];144;18;8;0
Говядина для Тушения «Фермерская» [Ашан];230;16;18;0
Говядина для Тушения [Ашан];131;17;7;0
Говядина Духовая «Фермерская» [Ашан];240;14;20;0
Говядина Духовая [Ашан];240;14;20;0
Говядина Имперская [Ашан];154;15;10;1
Говядина Категории А [Ашан];123;19;5;0
Говядина Копчено-Вареная [Ашан];96;14;4;1
Говядина Кусок [Ашан];67;10;3;0
Говядина на Ребрышках [Ашан];189;18;13;0
Говядина Праздничная [Ашан];108;20;3,5;0
Говядина Тазобедренная [Ашан];107;20;3;0
Говядина Тазобедренная Часть [Ашан];123;19;5;0
Говяжий Жир [Ашан];897;0;99,7;0
Говяжий Фарш [Ашан];248;17;20;0
Говяжье Легкое [Ашан];92;14,8;3,6;0
Голень Куриная [Ашан];223;23;8,9;0,7
Голова Форели [Ашан];97;19,2;2,1;0
Голубцы Ленивые [Ашан];106;4;6;9
Голубцы Овощные [Ашан];77;1,7;3,8;8,9
Голубцы с Мясом и Рисом [Ашан];123;6,8;7,8;6,2
Голяшка Говяжья [Ашан];107;20;3;0
Голяшка Говяжья Б/К [Ашан];114;19,3;4,1;0
Голяшка Говяжья Бескостная Фермерская [Ашан];187;18,9;12,4;0
Голяшка Свиная [Ашан];167;17;11;0
Голяшка Телячья [Ашан];94;19;2;0
Горбуша [Ашан];174;21;10;0
Горбуша г/К [Ашан];177;24;9;0
Горбуша Х/К [Ашан];235;21;5;0
Горбуша Х/К Спинка [Ашан];235;21;15;0
Горох Варёный [Ашан];60;6;0;9
Горошек Зелёный [Ашан];35;3;0;6
Горошек Печеный с Овощами [Ашан];60;2,5;1,5;9
Горошница [Ашан];128;7,6;3,2;16,2
Горчица [Ашан];155;7,2;11,8;2,3
Горчица Дижонская Био [Ашан];165;6,3;11,3;7,4
Горчица Дижонская Сладкая [Ашан];180;8,5;13;7,5
Горчица Зернистая [Ашан];210;7,5;9;25
Горький Шоколад 60% Цукаты и Орехи [Ашан];515;6,4;32,5;49,2
Горький Шоколад 72% [Ашан];570;9;42,4;36
Горький Шоколад Куба 70% [Ашан];537;7,7;42,6;30,7
Горький Шоколад Папуа Новая Гвинея [Ашан];506;8,9;38,4;31,1
Горький Шоколад с Цукатами и Орехами [Ашан];515;6,4;32,5;49,2
Горький Шоколад Санто-Доминго 71,6% [Ашан];541;7,6;43,1;30,7
Горький Шоколад Эквадор 72% Какао [Ашан];506;8,9;38,6;30,7
Гранат [Ашан];52;0,9;0;13,9
Гренадиновый Сироп [Ашан];308;0;0;77
Грецкие Орехи [Ашан];660;16;61;11
Грецкий Орех [Ашан];686;15;66;8
Грецкий Орех Очищенный [Ашан];648;16,8;10,2;61,3
Греческая Улитка Мак Ваниль [Ашан];334;7,6;7,9;58,2
Греческий Салат [Ашан];304;13,3;24,3;7,6
Гречка [Ашан];340;13;3,5;64
Гречка в Пакетиках [Ашан];215;8,1;2,2;40
Гречка Грибы [Ашан];145;5,4;4,5;20,8
Гречка на Пару [Ашан];157;6,2;1,6;29,5
Гречка Отварная [Ашан];104;4;2;19
Гречка с Грибами [Ашан];188;5,4;9,3;20,5
Гречневая Каша с Курицей [Ашан];139;1,5;5,8;19,8
Гречневая Крупа [Ашан];350;13;3;68
Гречневая Крупа [Ашан];215;8,1;2,2;40
"Грибы ""Шитаки"" [Ашан]";116;3,7;10,9;1,1
Грибы в Сметанном Соусе [Ашан];134;31,6;20,8;28,8
Грибы Шиитаке [Ашан];34;2,2;0,5;6,8
Грудинка Говяжья Бескостная «Фермерская» [Ашан];250;12;22;0
Грудинка на Хрящиках [Ашан];530;8;55;0
Грудинка Свиная Б/К [Ашан];543;8;55;0
Грудка Куриная Отварная [Ашан];183;34,2;4,9;0,3
Грудки Куриные Гриль [Ашан];140;17,8;7,6;0
Груша Анжу [Ашан];59;0,4;0,4;15,1
