Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Курица, цыплята-бройлеры, спинки, тушеные;258;22,18;18,14;0
Курица, цыплята-бройлеры, темное мясо;125;20,08;4,31;0
Курица, цыплята-бройлеры, темное мясо с кожей;237;16,69;18,34;0
Курица, цыплята-бройлеры, темное мясо с кожей, запечённое;253;25,97;15,78;0
Курица, цыплята-бройлеры, темное мясо с кожей, обжаренные в кляре;298;21,85;18,64;9,38
Курица, цыплята-бройлеры, темное мясо с кожей, обжаренные в панировке;285;27,22;16,91;4,08
Курица, цыплята-бройлеры, темное мясо с кожей, тушеные;233;23,5;14,66;0
Курица, цыплята-бройлеры, темное мясо, запечённое;205;27,37;9,73;0
Курица, цыплята-бройлеры, темное мясо, обжаренное;239;28,99;11,62;2,59
Курица, цыплята-бройлеры, темное мясо, тушеное;192;25,97;8,98;0
Курица, цыплята-бройлеры, только кожа;349;13,33;32,35;0
Курица, цыплята-бройлеры, только кожа, запечённая;454;20,36;40,68;0
Курица, цыплята-бройлеры, только кожа, обжаренная в кляре;394;10,32;28,83;23,15
Курица, цыплята-бройлеры, только кожа, обжаренная в панировке;502;19,09;42,58;9,34
Курица, цыплята-бройлеры, только кожа, приготовленная на гриле;406;17,66;37,24;0,11
Курица, цыплята-бройлеры, только кожа, тушеная;363;15,22;33,04;0
Курица, цыплята-бройлеры, только мясо;119;21,39;3,08;0
Курица, цыплята-бройлеры, только мясо, запечённое;190;28,93;7,41;0
Курица, цыплята-бройлеры, только мясо, обжаренное;219;30,57;9,12;1,59
Курица, цыплята-бройлеры, только мясо, тушеное;177;27,29;6,71;0
Курица, цыплята-бройлеры, тушеные;219;24,68;12,56;0
Курица, цыплята-бройлеры, шейки;297;14,07;26,24;0
Курица, цыплята-бройлеры, шейки, вареные на медленном огне;247;19,61;18,1;0
Курица, цыплята-бройлеры, шейки, обжаренные в кляре;330;19,82;23,52;8,7
Курица, цыплята-бройлеры, шейки, обжаренные в панировке;332;24,01;23,61;4,24
Курица, цыплята-бройлеры, шейки, только мясо;154;17,55;8,78;0
Курица, цыплята-бройлеры, шейки, только мясо, вареные на медленном огне;179;24,56;8,18;0
Курица, цыплята-бройлеры, шейки, только мясо, обжаренное;229;26,87;11,88;1,77
Молодая индейка;168;20,18;9,09;0
Молодая индейка, белое мясо;116;23,64;1,66;0
Молодая индейка, белое мясо с кожей;165;21,51;8,1;0
Молодая индейка, белое мясо с кожей, запечённое;207;28,64;9,4;0
Молодая индейка, белое мясо, запечённое;161;29,89;3,74;0
Молодая индейка, грудка с кожей;167;21,62;8,3;0
Молодая индейка, грудка с кожей, запечённая;194;28,8;7,86;0
Молодая индейка, запечённая;218;28,09;10,88;0
Молодая индейка, крылышки;210;19,93;13,87;0
Молодая индейка, крылышки, запечённые;238;27,3;13,46;0
Молодая индейка, окорочка;151;19,46;7,5;0
Молодая индейка, окорочка, запечённые;213;27,73;10,5;0
Молодая индейка, потроха и шейки;166;20,15;8,78;0,11
Молодая индейка, потроха и шейки, запечённые;215;28;10,55;0,07
Молодая индейка, спинки;218;17,51;15,93;0
Молодая индейка, спинки, запечённые;254;26,41;15,64;0
Молодая индейка, темное мясо;130;20,07;4,88;0
Молодая индейка, темное мясо с кожей;172;18,65;10,25;0
Молодая индейка, темное мясо с кожей, запечённое;232;27,37;12,78;0
Молодая индейка, темное мясо, запечённое;192;28,42;7,79;0
Молодая индейка, только кожа;417;11,79;40,62;0
Молодая индейка, только кожа, запечённая;482;19,03;44,45;0
Молодая индейка, только мясо;122;21,76;3,18;0
Молодая индейка, только мясо, запечённое;175;29,25;5,51;0
Молодой индюк;154;20,45;7,43;0
Молодой индюк, белое мясо;114;23,43;1,57;0
Молодой индюк, белое мясо с кожей;156;21,63;7,04;0
Молодой индюк, белое мясо с кожей, запечённое;191;28,48;7,7;0
Молодой индюк, белое мясо, запечённое;154;29,88;2,92;0
Молодой индюк, грудка с кожей;151;21,96;6,34;0
Молодой индюк, грудка с кожей, запечённая;189;28,61;7,39;0
Молодой индюк, запечённый;202;28,09;9,06;0
Молодой индюк, крылышки;188;20,45;11,22;0
Молодой индюк, крылышки, запечённые;221;27,45;11,5;0
Молодой индюк, окорочка, запечённые;206;27,93;9,63;0
Молодой индюк, окорочка, мясо и кожа, сырые;141;19,54;6,34;0
Молодой индюк, потроха и шейки;152;20,39;7,21;0,08
Молодой индюк, потроха и шейки, запечённые;199;27,97;8,81;0,1
Молодой индюк, спинка, запечённая;238;26,8;13,65;0
Молодой индюк, спинки, мясо и кожа, сырые;179;18,47;11,14;0
Молодой индюк, темное мясо;123;20,04;4,11;0
Молодой индюк, темное мясо с кожей;152;19,05;7,89;0
Молодой индюк, темное мясо с кожей, запечённое;216;27,58;10,85;0
Молодой индюк, темное мясо, запечённое;185;28,68;6,98;0
Молодой индюк, только кожа;368;13,24;34,56;0
Молодой индюк, только кожа, запечённая;422;20,14;37,25;0
Молодой индюк, только мясо;117;21,72;2,7;0
Молодой индюк, только мясо, запечённое;168;29,36;4,68;0
Мясо цыплят жареное, быстро замороженное;250;26,2;16;0,3
Мясо цыплят паровое, быстро замороженное;213;23,3;13,3;0
Нагетсы из куриной грудки в панировке;263;14,73;15,75;13,91
Нагетсы из куриной грудки в панировке, приготовленное в конвекционной печи;293;15,78;17,69;17
Палочки из мяса индейки, обжаренные в панировке и кляре;279;14,2;16,9;17
Перепел;192;19,63;12,05;0
Перепел, грудка, только мясо;123;22,59;2,99;0
Перепел, приготовленный;227;25,1;14,1;0
Перепел, только мясо;134;21,76;4,53;0
Перепелка;230;18,2;17,3;0,4
Петух каплун;234;18,77;17,07;0
Петух каплун, запечённый;229;28,96;11,65;0
Петух каплун, потроха;130;18,28;5,18;1,42
Петух каплун, потроха и шейки;232;18,51;16,9;0,08
Петух каплун, потроха и шейки, запечённые;226;28,35;11,67;0,04
Петух каплун, потроха, запечённые;164;26,39;5,4;0,76
Печень гусиная;133;16,37;4,28;6,32
Печень индейки;128;18,26;5,5;0
Печень индейки, вареная на медленном огне;189;27;8,18;0
Печень куриная;137,6;20,4;5,9;0,73
Печень куриная;119;16,92;4,83;0,73
Печень куриная, вареная на медленном огне;167;24,46;6,51;0,87
Печень куриная, жареная на сковороде;172;25,78;6,43;1,11
Печень утиная;136;18,74;4,64;3,53
Печень цыпленка-бройлера;122;20,6;3,7;1,5
Рагу из индейки, по 2-10;131;6;7,9;8,9
Рагу из курицы, по 2-8;131;6;8;8,5
Рагу из утки, по 2-10;186;6,3;13,5;9,6
Рагу из цыпленка, по 2-8;125;6,2;7,1;8,9
Салат с курицей, по 1-82;137;5,7;9,9;6
Сердечки индейки;140;16,7;7,44;0,4
Сердечки индейки, вареные на медленном огне;174;24,88;7,52;0
Сердечки куриные;153;15,55;9,33;0,71
Сердечки куриные, вареные на медленном огне;185;26,41;7,92;0,1
Сердце куриное;159;15,8;10,3;0,8
Сердце цыпленка-бройлера;148;17,3;8,3;0,9
Страус, верхняя часть филе;119;21,67;2,95;0
Страус, верхняя часть филе, приготовленная;155;28,12;3,87;0
Страус, внешняя часть бедра;115;22,86;1,96;0
Страус, внешняя часть филе;120;23,36;2,21;0
Страус, внешняя часть филе, приготовленная;156;28,55;3,83;0
Страус, внутренняя часть бедра;111;22,39;1,72;0
Страус, внутренняя часть бедра, приготовленная;141;29,01;1,94;0
Страус, внутренняя часть филе;127;23,69;2,87;0
Страус, внутренняя часть филе, приготовленная;164;29,37;4,26;0
Страус, вырезка;123;22,07;3,19;0
Страус, грудка порезанная;114;21,85;2,3;0
Страус, грудка порезанная, приготовленная;145;28,49;2,57;0
Страус, мышца-подниматель хвоста;117;21,81;2,65;0
Страус, нежное мясо спины;125;21,55;3,67;0
Страус, нежное мясо спины, приготовленное;159;28,81;3,97;0
Страус, огузок, сырой;116;21,99;2,4;0
Страус, фарш, жареный на сковороде;175;26,15;7,07;0
Страус, фарш, сырой;165;20,22;8,7;0
Утенок белой пекинской утки, грудка с кожей, запечённая;202;24,5;10,85;0
Утенок белой пекинской утки, грудка, только мясо, жареное на открытом огне;140;27,6;2,5;0
Утенок белой пекинской утки, окорок запечённый;217;26,75;11,4;0
Утенок белой пекинской утки, окорочка, только мясо, тушеные;178;29,1;5,96;0
Утка 1 кат.;405;15,8;38;0
Утка 2 кат.;287;17,2;24,2;0
Утка в собственном соку, консервы;223;16;17,5;0,3
Утка дикая;211;17,42;15,2;0
Утка дикая, только мясо;123;19,85;4,25;0
Утка домашняя;404;11,49;39,34;0
Утка домашняя, запечённая;337;18,99;28,35;0
Утка домашняя, только мясо;135;18,28;5,95;0,94
Утка домашняя, только мясо, запечёное;201;23,48;11,2;0
Утка жареная, по 2-16;407;23,2;34,9;0,1
Утка отварная, по 2-6;385;18,1;34,6;0
Утка фаршированная картофелем, по 2-18;169;7,1;10,9;10,5
Утята 1 кат.;309;16;27,2;0
